slug	verdict	year	posts_that_year	yield_pct	ok	gated	short	median_words	claim_sentences	specificity
post	SKIP-too-new	2022,2023,2024,2025,2026								
georgenoble	SKIP-too-new	2025,2026								
jimcolquitt	SKIP-too-new	2023,2024,2025,2026								
outperformingthemarket	SKIP-too-new	2023,2024,2025,2026								
metalsandminers	SKIP-too-new	2023,2024,2025,2026								
reboundcapital	SKIP-too-new	2025,2026								
adamtaggart	SKIP-too-new	2023,2024,2025,2026								
moderated4e567bf099944a3c904f1d9	ERROR	404 on https://moderated4e567bf099944a3c904f1d9.substack.com								
manleymacro	WEAK-no-claims	2021	9	100	4	0	0	1597	0	143
carbonrisk	ERROR	404 on https://carbonrisk.substack.com/sitemap								
cdn	ERROR	403 on https://cdn.substack.com/sitemap								
bespokeinvest	SKIP-too-new	2025,2026								
princetonchen	SKIP-too-new	2026								
philosopherinvestor	SKIP-too-new	2024,2025,2026								
nobelltrading	SKIP-too-new	2025,2026								
deepvaluecapitalbykyler	SKIP-too-new	2024,2025,2026								
myweeklystock	SKIP-too-new	2022,2023,2024,2025,2026								
jamesfoord	SKIP-too-new	2023,2024,2025,2026								
filpasini	WEAK-no-claims	2021	50	100	4	0	0	649	0	90
theeconomyrocket	SKIP-too-new	2022,2023,2024,2025,2026								
michaeljburry	SKIP-too-new	2025,2026								
etcaetera	SKIP-too-new	2024,2025,2026								
investinglawyer	SKIP-too-new	2023,2024,2025,2026								
sharpetwo	SKIP-too-new	2023,2024,2025,2026								
brazilstocks	SKIP-too-new	2023,2024,2025,2026								
stayvigilant	SKIP-too-gated	2021	1	0	0	0	1	0	0	0
econolog	SKIP-too-new	2023,2024,2025,2026								
huddleup	SKIP-too-gated	2021	231	0	0	4	0	0	0	0
cyclesedge	SKIP-too-new	2023,2024,2025,2026								
bdcbuzz	SKIP-too-gated	2021	275	0	0	4	0	0	0	0
ashenden	SKIP-too-new	2022,2023,2024,2025,2026								
celeritas	SKIP-too-new	2023,2024,2025,2026								
mercilesstrader	SKIP-too-new	2022,2023,2024,2025,2026								
algotradealert	SKIP-too-new	2023,2024,2025,2026								
buffalotraderswritingdesk	CANDIDATE	2021	3	67	2	0	1	1631	2	112
etfshelf	SKIP-too-new	2023,2024,2025,2026								
grahamsbenjamins	SKIP-too-new	2022,2023,2024								
fcompounders	SKIP-too-new	2023,2024								
undertheradars	SKIP-too-new	2023,2024,2025								
blackmon	SKIP-too-new	2022,2023,2024,2025,2026								
theenergynewsbeat	SKIP-too-new	2022,2023,2024,2025,2026								
thenemethreport	SKIP-too-gated	2021	10	0	0	0	4	0	0	0
kattla	SKIP-too-new	2023,2024,2025,2026								
naturalselections	CANDIDATE	2021	46	75	3	1	0	1836	3	58
robertbryce	CANDIDATE	2021	52	75	3	0	1	2037	1	141
tucoschild	SKIP-too-new	2022,2023,2024,2025,2026								
juspermachogu	SKIP-too-new	2023,2024,2025,2026								
