slug	verdict	year	posts_that_year	yield_pct	ok	gated	short	median_words	claim_sentences	specificity
drguess	SKIP-too-new	2022,2023,2024,2025,2026								
justindaerr	SKIP-too-new	2025,2026								
richroll	WEAK-no-claims	2021	81	75	3	0	1	442	0	83
freespeed	SKIP-too-new	2023,2026								
billat	SKIP-too-new	2024,2025								
drmaryclairehaver	SKIP-too-new	2025,2026								
griffinjaworski	SKIP-too-new	2024,2025,2026								
jakekellymd	SKIP-too-new	2025,2026								
menopausedietplan	SKIP-too-new	2023,2024,2025,2026								
drcyrusk	SKIP-too-new	2026								
thesecretingredient	SKIP-too-new	2024,2025,2026								
colinstuart	SKIP-too-new	2023,2024,2025,2026								
motionmountain	SKIP-too-new	2023,2024,2025,2026								
curtjaimungal	CANDIDATE	2021	43	100	4	0	0	448	2	537
physicslatam	SKIP-too-new	2023,2024,2025,2026								
constructionphysics	WEAK-no-claims	2021	43	100	4	0	0	3083	0	50
fullertreacymoney	SKIP-too-new	2023,2024,2025,2026								
arjunmurti	SKIP-too-gated	2021	12	50	2	0	2	2499	1	181
rysci	SKIP-too-new	2023,2024,2025								
contrariancapitalist	SKIP-too-new	2022,2023,2024,2025,2026								
namzes	SKIP-too-new	none								
edfin	SKIP-too-new	2022,2023,2024,2025,2026								
specialsituationinvesting	SKIP-too-new	2022,2023,2024,2025,2026								
offthecharts	SKIP-too-new	2022,2023,2024,2025,2026								
themacrocompass	WEAK-no-claims	2021	21	100	4	0	0	1529	0	110
ronaldpsmith	SKIP-too-new	2025,2026								
pavchartbook	SKIP-too-new	2022,2023,2024								
bfrandall	SKIP-too-new	2022,2023								
bluecowreports	ERROR	404 on https://bluecowreports.substack.com/sitemap								
rawenergy	SKIP-too-new	2022,2023,2024								
alchemyatscale	SKIP-too-new	2023								
enerwrap	SKIP-too-new	2022,2023,2024								
wtirealist	SKIP-too-new	2022,2023								
stuckinthemiddle	CANDIDATE	2021	14	100	4	0	0	1353	2	80
doyoulikeapples	WEAK-no-claims	2021	48	100	4	0	0	1856	0	162
ceramicsnow	CANDIDATE	2021	11	100	4	0	0	998	1	309
summerlightning	WEAK-no-claims	2021	3	100	3	0	0	588	0	45
nichelle	SKIP-too-gated	2021	54	25	1	0	3	348	0	164
ruthtalksfood	CANDIDATE	2021	37	100	4	0	0	1504	1	84
arabellesicardi	SKIP-too-gated	2021	11	25	1	3	0	1390	0	24
jihii	CANDIDATE	2021	24	75	3	0	1	1844	2	55
carriecourogen	CANDIDATE	2021	4	75	3	1	0	3033	1	38
pomp	SKIP-too-gated	2021	227	50	2	2	0	2224	3	146
supergranular	WEAK-no-claims	2021	10	100	4	0	0	1125	0	41
lukeleighfield	WEAK-no-claims	2021	18	100	4	0	0	521	0	131
polyesterzine	SKIP-too-new	2024,2025,2026								
playitlikeitsmusic	WEAK-no-claims	2021	14	100	4	0	0	839	0	116
jonasellison	WEAK-no-claims	2021	134	75	3	0	1	395	0	154
chrispirillo	SKIP-too-gated	2021	28	25	1	0	3	566	0	19
libbytarian	CANDIDATE	2021	1	100	1	0	0	430	1	33
westvirginiaville	CANDIDATE	2021	17	100	4	0	0	991	1	185
thedig	SKIP-too-gated	2021	54	25	1	3	0	3373	6	305
christiandurso	WEAK-no-claims	2021	4	100	4	0	0	1592	0	69
sriramk	SKIP-too-new	none								
scream	CANDIDATE	2021	3	67	2	0	1	1662	1	70
abenignconspiracy	WEAK-no-claims	2021	2	100	2	0	0	1427	0	12
jamesgarside	SKIP-too-gated	2021	72	0	0	3	1	0	0	0
alexandre	CANDIDATE	2021	46	100	4	0	0	3828	2	132
austin	CANDIDATE	2021	4	100	4	0	0	2162	3	232
robwalker	SKIP-too-gated	2021	76	0	0	4	0	0	0	0
wondertools	SKIP-too-gated	2021	52	0	0	4	0	0	0	0
danfriedmanme	WEAK-no-claims	2021	23	75	3	0	1	925	0	117
jgw	WEAK-no-claims	2019	4	75	3	0	1	535	0	104
theconvivialsociety	CANDIDATE	2021	36	100	4	0	0	2302	1	63
blgtylr	CANDIDATE	2021	27	100	4	0	0	2626	1	42
mattruby	SKIP-too-gated	2021	64	0	0	4	0	0	0	0
cws	SKIP-too-gated	2021	80	50	2	1	1	1699	2	159
offgridtwin	SKIP-too-gated	2021	13	25	1	0	3	460	0	72
kp	WEAK-no-claims	2021	9	75	3	0	1	503	0	139
notesfromasmallpress	SKIP-too-gated	2021	41	0	0	4	0	0	0	0
mytechtribe	SKIP-too-gated	2021	57	50	2	0	2	486	1	267
tolusefrancis	CANDIDATE	2021	34	75	3	0	1	604	3	42
twobossydames	WEAK-no-claims	2021	16	100	4	0	0	1351	0	114
linksiwouldgchatyou	SKIP-too-gated	2021	44	0	0	4	0	0	0	0
mananh	WEAK-no-claims	2021	2	100	2	0	0	1030	0	94
cmoon	WEAK-no-claims	2021	15	100	4	0	0	1054	0	81
coletrickle	CANDIDATE	2021	11	75	3	0	1	699	1	90
gretchenmcc	CANDIDATE	2021	13	100	4	0	0	515	1	225
andjelicaaa	SKIP-too-gated	2021	33	0	0	4	0	0	0	0
feministmidwife	SKIP-too-gated	2021	60	0	0	4	0	0	0	0
tonyburkinshaw	CANDIDATE	2020	39	100	4	0	0	1286	2	62
deepquarry	SKIP-too-new	2023,2024,2025,2026								
